t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
3044,4.16,0,360,48,idle
3155,4.32,0,360,48,idle
3265,4.17,0,360,48,idle
3375,4.03,0,360,48,idle
3485,4.88,0,300,48,idle
3595,4.16,0,300,48,idle
3705,4.25,0,300,48,idle
3813,4.12,0,300,48,idle
3923,4.29,0,300,48,idle
4037,4.11,0,300,48,idle
4144,4.01,0,300,48,idle
4255,4.26,0,300,48,idle
4367,3.94,0,300,48,idle
4477,4.43,0,300,48,idle
4588,4.05,0,300,48,idle
4699,4.31,0,300,48,idle
4809,4.04,0,300,48,idle
4920,4.27,0,300,48,idle
5031,4.07,0,300,48,idle
5144,4.2,0,300,48,idle
5252,4.15,0,300,48,idle
5363,4.04,0,300,48,idle
5471,4.24,0,300,48,idle
5581,4.09,0,300,48,idle
5694,4.3,0,300,48,idle
5801,4.21,0,300,48,idle
5912,4.26,0,300,48,idle
6020,4.1,0,300,48,idle
6130,4.4,0,300,48,idle
6243,4.23,0,300,48,idle
6353,3.9,0,300,48,idle
6462,4.4,0,300,48,idle
6572,4.01,0,300,48,idle
6682,4.12,0,300,48,idle
6792,4.21,0,300,48,idle
6901,4.27,0,300,48,idle
7012,4.23,0,300,48,idle
7145,4.25,0,300,48,idle
7244,4.38,0,300,48,idle
7354,4.46,0,300,47,idle
7463,4.3,0,300,47,idle
7569,4.37,0,300,47,idle
7696,4.28,0,300,47,idle
7802,4.42,0,300,47,idle
7894,4.41,0,300,47,idle
8004,4.22,0,300,47,idle
8114,4.25,0,300,47,idle
8225,4.25,0,300,47,idle
8336,4.27,0,300,47,idle
8446,4.16,0,300,47,idle
8557,4.11,0,300,47,idle
8668,4.21,0,300,47,idle
8779,4.02,0,300,47,idle
8891,4.13,0,300,48,idle
9001,4.32,0,300,48,idle
9109,4.24,0,300,48,idle
9219,4.28,0,300,48,idle
9330,4.38,0,300,48,idle
9441,4.25,0,300,48,idle
9549,4.58,0,300,48,idle
9661,4.11,0,300,48,idle
9769,4.31,0,300,48,idle
9880,4.12,0,300,48,idle
9991,4.18,0,300,48,idle
10099,4.39,0,300,48,idle
10210,4.4,0,300,48,idle
10318,4.34,0,300,48,idle
10429,4.25,0,300,48,idle
10539,4.39,0,300,47,idle
10648,4.26,0,300,47,idle
10759,4.22,0,300,47,idle
10869,4,0,300,47,idle
10980,4.14,0,300,47,idle
11093,4.01,0,300,48,idle
11202,4.14,0,300,48,idle
11312,4.29,0,300,48,idle
11421,4.08,0,300,48,idle
11532,4.39,0,300,48,idle
11642,4.15,0,300,48,idle
11751,4.46,0,300,48,idle
11862,4.25,0,300,48,idle
11973,4.03,0,300,48,idle
12081,4.3,0,300,48,idle
12194,4.05,0,300,48,idle
12302,4.5,0,300,48,idle
12413,4.22,0,300,48,idle
12522,4.53,0,300,48,idle
12632,4.22,0,300,48,idle
12742,4.34,0,300,47,idle
12851,4.28,0,300,47,idle
12962,4.42,0,300,47,idle
13072,4.2,0,300,47,idle
13183,4.29,0,300,47,idle
13293,4.28,0,300,48,idle
13400,4.24,0,300,48,idle
13511,4.61,0,300,48,idle
13621,4.1,0,300,48,idle
13730,4.28,0,300,48,idle
13842,4.2,0,300,48,idle
13948,4.36,0,300,48,idle
14060,4.16,0,300,48,idle
14170,4.39,0,300,48,idle
14280,4.36,0,300,48,idle
14390,4.07,0,300,48,idle
14497,4.45,0,300,48,idle
14607,4.15,0,300,48,idle
14719,4.44,0,300,48,idle
14829,4.27,0,300,48,idle
14940,4.36,0,300,48,idle
