t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
18067,4.3,0,300,48,varied
18178,4.11,0,300,48,varied
18292,4.3,0,300,48,varied
18412,7.9,0,300,48,varied
18512,10.62,0,360,48,varied
18615,12.55,0,360,48,varied
18724,18.24,30,1455,48,varied
18842,33.65,30,1440,51,varied
18946,31.41,30,1440,51,varied
19067,22.64,30,1440,51,varied
19162,22.64,30,1440,51,varied
19273,26.42,30,1440,51,varied
19398,33.42,30,1440,51,varied
19502,27.29,30,1440,51,varied
19597,22.62,30,1440,51,varied
19721,22.55,21,1440,51,varied
19832,27.07,21,1440,51,varied
19926,33.51,21,1440,51,varied
20057,34.79,21,1635,51,varied
20157,35.92,21,1635,51,varied
20266,38.76,21,1725,51,varied
20377,32.22,21,1725,51,varied
20482,25.39,21,1725,52,varied
20576,25.29,21,1725,52,varied
20705,31.45,26,1725,52,varied
20793,39.95,26,1725,52,varied
20940,41.42,26,1725,53,varied
21011,39.67,26,1725,53,varied
21120,35.62,26,1725,53,varied
21212,40.53,26,1725,53,varied
21336,41.03,26,1725,53,varied
21430,27.21,26,1725,52,varied
21553,25.47,26,1725,52,varied
21662,25.5,24,1725,52,varied
21754,36.56,24,1725,52,varied
21869,41.35,24,1725,52,varied
21981,39.24,24,1725,54,varied
22083,40.61,24,1680,54,varied
22194,39.96,24,1680,54,varied
22317,28.24,24,1650,54,varied
22480,24.39,24,1500,52,varied
22559,24.06,24,1500,52,varied
22630,23.1,24,1500,52,varied
22764,31.79,23,1395,52,varied
22847,32.32,23,1395,52,varied
22939,32.13,23,1455,52,varied
23046,22.74,23,1455,52,varied
23163,22.87,23,1455,52,varied
23291,26.08,23,1455,52,varied
23382,33.6,23,1455,52,varied
23489,34.31,23,1455,53,varied
23596,34.59,23,1455,53,varied
23702,33.75,29,1500,53,varied
23794,34.79,29,1500,53,varied
23903,24.06,29,1500,53,varied
24015,23.35,29,1500,52,varied
24125,24.5,29,1500,52,varied
24230,34.14,29,1500,52,varied
24341,29.39,29,1500,52,varied
24451,34.31,29,1500,52,varied
24579,35.03,29,1500,53,varied
24711,32.66,25,1500,53,varied
24811,31.79,25,1500,53,varied
24920,27.91,25,1500,53,varied
25018,23.3,25,1500,53,varied
25101,23.25,25,1500,53,varied
25197,23.25,25,1500,53,varied
25302,25.89,25,1500,53,varied
25411,33.88,25,1500,53,varied
25505,33.76,25,1395,53,varied
25636,32.42,25,1395,53,varied
25741,32.7,20,1380,53,varied
25871,31.5,20,1380,53,varied
25938,32.86,20,1380,53,varied
26058,25.62,20,1380,53,varied
26153,22.2,20,1305,53,varied
26282,21.65,20,1200,53,varied
26386,27.19,20,1200,53,varied
26494,30.37,20,1185,53,varied
26604,24.24,20,1185,53,varied
26715,21.04,19,1080,52,varied
26821,22.66,19,1080,52,varied
26918,30.82,19,1065,52,varied
27024,30.03,19,1065,52,varied
27149,30.96,19,1410,52,varied
27244,33.22,19,1410,54,varied
27369,33.73,19,1470,54,varied
27474,32.82,19,1470,54,varied
27583,26.29,19,1470,54,varied
27675,23.18,31,1470,54,varied
27802,23.21,31,1470,53,varied
27910,29.95,31,1470,53,varied
28063,31.74,31,1470,53,varied
28161,30.85,31,1470,53,varied
28272,31.77,31,1470,54,varied
28368,31.26,31,1470,54,varied
28438,33.12,31,1470,54,varied
28559,34.13,31,1470,54,varied
28667,26,31,1470,54,varied
28763,23.12,26,1470,53,varied
28873,23.13,26,1470,53,varied
28978,28.76,26,1470,53,varied
29086,31.82,26,1395,53,varied
29234,33.96,26,1395,54,varied
29305,33.96,26,1620,54,varied
29435,37.54,26,1620,54,varied
29540,33.15,26,1620,54,varied
29647,24.47,26,1620,54,varied
29743,24.48,25,1620,54,varied
29896,24.38,25,1620,54,varied
29975,34.49,25,1620,54,varied
30086,37.15,25,1620,54,varied
30197,37.11,25,1620,55,varied
30306,37.5,25,1620,55,varied
30413,37.44,25,1620,55,varied
30525,34.23,25,1620,55,varied
30630,24.49,25,1620,55,varied
30737,24.47,24,1620,54,varied
30836,24.41,24,1620,54,varied
30951,36.25,24,1620,54,varied
31093,39.24,24,1620,54,varied
31180,37.5,24,1650,54,varied
31347,37.2,24,1650,56,varied
31416,37.33,24,1650,56,varied
31498,34.34,24,1650,56,varied
31610,34.69,24,1650,56,varied
31721,24.77,24,1650,56,varied
31834,24.77,24,1650,54,varied
31948,34.42,24,1650,54,varied
32031,37.41,24,1650,54,varied
32144,37.88,24,1650,54,varied
32251,37.2,24,1650,54,varied
32357,38.33,24,1650,56,varied
32471,38.21,24,1650,56,varied
32574,36.36,24,1650,56,varied
32685,24.9,24,1650,56,varied
32794,24.82,24,1650,56,varied
32906,24.79,24,1305,55,varied
33006,31.24,24,1305,55,varied
33117,31.05,24,1305,55,varied
33229,31.99,24,1305,55,varied
33333,21.91,24,1245,55,varied
33448,21.59,24,1245,54,varied
33558,21.5,24,1140,54,varied
33661,28.53,24,1140,54,varied
33753,31.09,19,1125,54,varied
33876,23.72,19,1125,54,varied
33970,21.02,19,1065,54,varied
34085,20.71,19,1065,54,varied
34210,27.7,19,1020,54,varied
34341,27.09,19,1230,54,varied
34461,31.22,19,1230,55,varied
34534,31.22,19,1320,55,varied
34639,31.56,19,1320,55,varied
34749,31.62,33,1350,55,varied
34859,24.08,33,1350,55,varied
34958,22.44,33,1350,54,varied
35079,22.39,33,1350,54,varied
35190,27.68,33,1350,54,varied
35299,32.1,33,1350,54,varied
35411,32.55,33,1350,55,varied
35518,32.52,33,1350,55,varied
35628,31.46,33,1350,55,varied
35737,30.77,26,1350,55,varied
35839,30.95,26,1350,55,varied
35951,22.46,26,1350,55,varied
36059,22.44,26,1350,55,varied
36167,22.42,26,1350,55,varied
36282,30.33,26,1350,55,varied
36393,33.03,26,1350,55,varied
36496,31.08,26,1350,55,varied
36604,21.94,26,1080,55,varied
36701,20.87,26,1080,55,varied
36825,22.29,15,990,55,varied
36932,27.9,15,1140,55,varied
37047,27.53,15,1140,55,varied
37156,30.55,15,1335,55,varied
37252,30.55,15,1335,55,varied
37422,32.93,15,1335,55,varied
37485,28.01,15,1335,55,varied
37590,22.26,15,1335,55,varied
37685,22.31,15,1335,55,varied
37812,24.71,30,1335,55,varied
37939,31.28,30,1335,55,varied
38010,30.69,30,1335,55,varied
38138,32.25,30,1440,55,varied
38242,32.33,30,1440,55,varied
38348,31.9,30,1440,55,varied
