t_ms,power_w,temp_c,clock_mhz,label
22398,25.85,52,1320,cool
22507,21.54,52,1320,cool
22616,21.7,52,1200,cool
22736,21.1,52,1095,cool
22837,20.58,51,1095,cool
22963,20.52,51,1005,cool
23057,19.28,51,1005,cool
23166,19.27,51,915,cool
23278,19.13,51,915,cool
23393,19.18,51,825,cool
23499,19.05,51,825,cool
23613,19.05,51,750,cool
23718,19.07,51,750,cool
23853,19.04,51,690,cool
23962,18.68,51,630,cool
24042,8.99,51,630,cool
24208,9.18,51,570,cool
24255,11,51,570,cool
24368,9.04,50,525,cool
24476,9.37,50,525,cool
24590,9.16,50,480,cool
24696,9.45,50,480,cool
24807,9.04,50,435,cool
24920,9.29,50,435,cool
25027,9.13,50,405,cool
25136,9.26,50,405,cool
25245,9.15,50,360,cool
25354,8.92,50,360,cool
25464,8.71,49,360,cool
25573,9.03,49,360,cool
25681,8.87,49,360,cool
25793,9.01,49,360,cool
25900,5.03,49,360,cool
26010,4.36,49,360,cool
26120,4.31,49,360,cool
26229,4.44,49,360,cool
26339,4.3,49,360,cool
26449,4.2,49,360,cool
26561,4.44,49,360,cool
26671,4.24,49,360,cool
26780,4.41,49,360,cool
26893,4.51,49,360,cool
27003,4.49,49,300,cool
27114,4.92,49,300,cool
27223,4.49,49,300,cool
27333,4.39,49,300,cool
27444,4.37,49,300,cool
27552,4.4,49,300,cool
27661,4.35,49,300,cool
27771,4.28,49,300,cool
27883,4.34,49,300,cool
27990,4.38,49,300,cool
28098,4.49,49,300,cool
28209,4.38,49,300,cool
28321,4.37,49,300,cool
28427,4.32,49,300,cool
28539,4.28,49,300,cool
28649,4.36,49,300,cool
28759,4.21,49,300,cool
28869,4.21,49,300,cool
28979,4.25,49,300,cool
29088,4.4,49,300,cool
29198,4.31,49,300,cool
29310,4.25,49,300,cool
29421,4.37,49,300,cool
29530,4.26,49,300,cool
29640,4.42,49,300,cool
29753,4.27,49,300,cool
29863,4.23,48,300,cool
29971,4.23,48,300,decoy1
30080,4.45,48,300,decoy1
30189,4.27,48,300,decoy1
30316,9.02,49,300,decoy1
30409,10.72,49,1455,decoy1
30518,27.9,49,1455,decoy1
30625,22.6,49,1455,decoy1
30735,22.58,49,1455,decoy1
30860,23.47,50,1455,decoy1
30966,22.67,50,1455,decoy1
31058,22.67,50,1455,decoy1
31189,25.68,50,1455,decoy1
31287,34.44,50,1455,decoy1
31381,35.87,51,1635,decoy1
31528,38.49,51,1635,decoy1
31587,29.88,51,1635,decoy1
31695,24.18,51,1635,decoy1
31807,24.19,51,1635,decoy1
31931,24.18,51,1635,decoy1
32024,34.28,51,1635,decoy1
32132,24.15,51,1635,decoy1
32242,24.15,51,1635,decoy1
32367,25.62,51,1635,decoy1
32478,24.18,51,1635,decoy1
32585,24.22,51,1635,decoy1
32681,24.14,51,1635,decoy1
32805,31.1,51,1635,decoy1
32898,27.47,51,1635,decoy1
33026,24.27,51,1635,decoy1
33117,24.24,51,1635,decoy1
33241,24.23,51,825,decoy1
33352,23.95,51,825,decoy1
33443,21.51,51,795,decoy1
33550,19.16,50,795,decoy1
33691,24.85,50,735,decoy1
33777,24.85,50,735,decoy1
33918,30.37,50,1155,decoy1
34002,29.98,51,1350,decoy1
34102,33.17,51,1350,decoy1
34265,33.81,51,1620,decoy1
34309,36.73,51,1620,decoy1
34402,27.75,51,1620,decoy1
34513,24.16,51,1620,decoy1
34623,24.16,51,1620,decoy1
