t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
35819,31.83,22,1905,60,varied
35929,32.61,22,1905,60,varied
36054,57.12,22,1905,60,varied
36144,45.59,22,1905,58,varied
36253,31.87,22,1905,58,varied
36362,31.77,18,1905,58,varied
36469,48.06,18,1905,58,varied
36576,59.36,18,1905,58,varied
36686,59.93,18,1905,61,varied
36795,60.22,18,1890,61,varied
36901,33.75,18,1890,61,varied
37012,31.71,18,1890,61,varied
37137,37.26,18,1890,60,varied
37242,53.75,18,1890,60,varied
37377,58.97,33,1890,60,varied
37463,59,33,1890,60,varied
37540,58.51,33,1890,60,varied
37651,48.98,33,1890,59,varied
37761,31.86,33,1890,59,varied
37873,31.71,33,1890,59,varied
37984,57.55,33,1890,59,varied
38095,58.78,33,1890,59,varied
38207,55.21,33,1890,61,varied
