t_ms,power_w,util_pct,sm_clock_mhz,temp_c,label
41505,9.07,0,360,53,loop
41615,9.14,0,360,53,loop
41742,9.2,0,360,53,loop
41847,9.61,0,360,53,loop
41982,21.2,0,1455,53,loop
42068,21.2,0,1455,53,loop
42147,30.06,0,1455,53,loop
42301,23.12,0,1455,54,loop
42407,23.09,0,1455,54,loop
42510,25.42,0,1455,54,loop
42609,31.55,0,1455,54,loop
42684,32.28,0,1455,54,loop
42799,31.91,27,1455,55,loop
42915,32.76,27,1455,55,loop
43032,29.96,27,1455,55,loop
43109,23.29,27,1455,55,loop
43221,23.22,27,1455,55,loop
43335,23.16,27,1455,55,loop
43466,29.12,27,1455,55,loop
43546,32.2,27,1455,55,loop
43661,31.62,27,1455,55,loop
43765,31.7,20,1275,55,loop
43876,32.63,20,1275,55,loop
43979,21.74,20,1200,55,loop
44116,21.36,20,1200,55,loop
44202,21.41,20,1095,55,loop
44312,28.02,20,1095,55,loop
44403,28.7,20,1080,55,loop
44495,28.75,20,1080,55,loop
44604,23.38,20,1065,55,loop
44713,20.82,20,1065,55,loop
44807,20.43,16,975,55,loop
44931,21.3,16,975,55,loop
45051,26.72,16,930,55,loop
45134,27.06,16,930,55,loop
45257,28.52,16,1155,55,loop
45366,30.23,16,1155,55,loop
45474,23.13,16,1155,55,loop
45581,21.34,16,1155,55,loop
45694,24.63,16,1155,55,loop
45801,29.82,25,1155,55,loop
45906,23.27,25,1155,55,loop
46019,21.26,25,1155,55,loop
46126,21.21,25,1155,55,loop
46259,24.86,25,1155,55,loop
46337,29.03,25,1155,55,loop
46454,29.72,25,1155,55,loop
46566,28.88,25,1155,55,loop
46674,28.53,25,1155,55,loop
46781,26.14,22,1155,55,loop
46892,21.27,22,1155,55,loop
47003,21.7,22,990,55,loop
47113,27.04,22,990,55,loop
47219,24.54,22,1020,55,loop
47325,19.52,22,1020,55,loop
47435,19.54,22,1020,55,loop
47553,19.52,22,1020,55,loop
47669,26.5,22,1020,55,loop
47771,25.93,18,1020,55,loop
47863,27.07,18,1020,55,loop
47977,27.39,18,1230,55,loop
48085,27.8,18,1230,55,loop
48159,21.64,18,1230,55,loop
48278,21.71,18,1230,55,loop
48411,26.76,18,1230,55,loop
48499,26.76,18,1230,55,loop
48588,29.8,18,1230,55,loop
48702,30.71,18,1230,56,loop
48809,28.83,27,1230,56,loop
48917,21.76,27,1230,56,loop
49027,21.78,27,1230,56,loop
49140,21.76,27,1230,56,loop
49245,28.4,27,1230,55,loop
49349,27.91,27,1230,55,loop
49462,30.33,27,1230,55,loop
49571,30.8,27,1305,55,loop
